Country_Name,Country_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cote d'Ivoire,CIV,0.000120811,0.000128782,0.000119645,0.000145731,0.000148031,0.000127563,0.000125845,0.000150459,0.000205396,0.000191298,0.000188876,0.000213832,0.000229493,0.000189141,0.000206023,0.000221464,0.000192897,0.000206821,0.000233193
Croatia,HRV,0.004048182,0.004127007,0.00448944,0.004828282,0.004878502,0.004900619,0.004092909,0.004631346,0.004862244,0.005213563,0.004963084,0.005383566,0.005144505,0.004946942,0.004710485,0.004766394,0.004569631,0.004501211,0.004080131
Cuba,CUB,0.001549441,0.001625005,0.001488419,0.001185337,0.001102113,0.001563123,0.001820926,0.001703268,0.001735941,0.002010208,0.001578862,0.00200254,0.001920823,0.001969239,0.001806685,0.001538883,0.001419917,0.00129999,0.001021389
Cyprus,CYP,0.000246721,0.000211632,0.000295995,0.000405204,0.000475337,0.000472294,0.000446728,0.000550371,0.000653326,0.000823424,0.000868096,0.000901232,0.000940576,0.001120385,0.001055774,0.001088169,0.001207687,0.001263206,0.001177835
Czech Republic,CZE,0.017530447,0.016837095,0.018279622,0.014987089,0.011286456,0.010962389,0.01206689,0.01343848,0.014151016,0.014655274,0.016217117,0.016362852,0.01667606,0.016779226,0.018146979,0.019704887,0.019140064,0.017933949,0.014906438
Denmark,DNK,0.013134451,0.013182,0.012821367,0.012835383,0.012595195,0.012246113,0.01245245,0.012962981,0.013183848,0.013644762,0.014106981,0.014587989,0.015338193,0.015657721,0.016929337,0.017129515,0.016711967,0.015672332,0.013647086
Djibouti,DJI,-1.83431E-06,-1.28432E-06,-2.00915E-06,-3.07813E-07,4.84509E-07,1.40984E-06,1.57004E-06,2.45725E-07,-5.15792E-07,8.23861E-06,5.68912E-06,3.42207E-06,6.21448E-06,7.49224E-06,9.87387E-06,5.01626E-06,2.77365E-06,3.48917E-06,4.15896E-06
Dominican Republic,DOM,0.000140096,0.00026288,0.000301487,0.000328932,0.00030383,0.000315436,0.000373872,0.000177935,7.37003E-05,0.000289181,0.000361336,0.000341001,0.000278472,0.000273173,0.000259425,0.00023358,0.000238221,0.000259625,0.000217048
Ecuador,ECU,0.00115766,0.000532364,0.000317529,0.00082465,0.000869804,0.000968436,0.001087917,0.001106304,0.001131474,0.000952999,0.000931395,0.00019916,0.000287887,0.000727222,0.000782246,0.001175564,0.00159815,0.002015521,0.002329241
"Egypt, Arab Rep.",EGY,0.006841056,0.006729249,0.006528466,0.006543929,0.00581171,0.006375678,0.005191822,0.008035378,0.008491005,0.009660284,0.010232148,0.010572339,0.011459644,0.011500728,0.011996775,0.012713413,0.013874284,0.013237367,0.013798703
